Guid	Qcate	Q	A	Keywords_A	Output_conf	Output
4250d05e-7d21-4bdc-ae95-9bb79f7290be	text	Do the Seneca River and the Lima River both flow east?	["No, the Seneca River begins flowing east, while the Lima River flows westward.", "\"No, the Lima River flows west.\"", "\"No, only the Seneca River flows east, and the Lima River flows west.\"", "\"It says that the Seneca River begins at Geneva in Seneca County, as the outflow of Seneca Lake, flowing east past Waterloo and Seneca Falls. But it says that the Lima River  is a river, which streams westward from Galicia to Portugal. Therefore no, they don't flow east.\""]	"no"	1	["The is a river in the United States.The Seneca River begins at Geneva in Seneca County, as the outflow of Seneca Lake, flowing east past Waterloo and Seneca Falls. Skirting the northern end of Cayuga Lake at the Montezuma Marsh, it turns north, receiving the Clyde River from the west, forming the Seneca\u2013 Cayuga county line, then the border of Lake Ontario. / 41.6824; -8.8369 The Lima River"]
12fe51e8-4c47-4eb6-ac04-f61c25656488	text	San Pedro is a small town in a mountain range that is the southernmost range of what system?	["The Peninsular Ranges System", "\"San Pedro is a small town located in the Sierra de la Laguna Mountains that is the southernmost range of the Peninsular Ranges System.\"", "\"San Pedro is a small town in a mountain range that is the southernmost range of the Peninsular Ranges System.\"", "\"San Pedro is a small town in the Sierra de la Laguna Mountains, which is the southernmost range of the Peninsular Ranges System\"", "\"It's the southernmost range of Peninsular Ranges System.\""]	"Peninsular Ranges System"	1	["SanSan Pedro is a small town in the Sierra de la Laguna Mountains in La Paz Municipality of Baja California Sur. It is located a few miles north of the junction of Highway 1 and is the southernmost mountain range of the Peninsular Ranges System.San Pedro"]
7ed57c0b-e265-4d5e-adf2-25de384efca5	text	What type of energy is lowered to increase reaction rates from isomerases and for example, in converting from a stable cis isomer to the less stable trans isomer is greater than for the reverse reaction?	["The isomerization energy.", "\"Isomerization energy is lowered to increase reaction rates.\"", "\"Isomerization energy is lowered.\"", "\"Isomerization energy is lowered to increase reaction rates from isomerases.\"", "\"Isomerization energy is lowered to increase reaction rates from isomerases, for example the isomerization energy for converting from a stable cis isomer to the less stable trans isomer is greater than for the reverse reaction.\""]	"isomerization energy"	1	["The isomerase kinetics [ edit ]The kinetics of isomerases can be compared to the kinetics for the reverse reaction. Isomerases have been shown to be more stable than the cis isomer."]
e4b4da0a-dbe8-40ac-9db7-994c3a7da53c	text	What governmental position did both Ireland and England have, at least until it was abolished in Ireland in 1817?	["They both had the Lord High Treasurer position within their governments.", "\"The governmental position that both Ireland and England had, at least until it was abolished in Ireland in 1817 was Lord High Treasurer.\"", "\"Ireland and England both had a Lord High Treasurer, until the post was abolished in Ireland in 1817.\"", "\"Lord High Treasurer was a governmental position in both Ireland and England until it was abolished in Ireland in 1817.\"", "\"Lord High Treasurer was a governmental position that both Ireland and England had, at least until it was abolished in Ireland in 1817.\"", "\"Lord High Treasure was a governmental position both Ireland and England had.\""]	"Lord High Treasurer"	1	["The was a British government position in the United Kingdom between 1707 and 1816. A holder of the post would be the third-highest-ranked Great Officer of State, below the Lord High Steward and the Lord Lord High Chancellor of Great Britain. After the Acts of Union 1800 created the British Empire, the Consolidated Fund Act 1816 merged the Irish Inferior Exchequer into the British"]
87dd2ec1-4da4-4834-88d7-fa95dbf3a82c	text	What is the name of the urban locality that's in the same district as Rytkuchi?	["Yuzhny.", "\"Yuzhny, which is an urban locality, is in the same district as Rytkuchi.\"", "\"The urban locality that's in the same district as Rytkuchi is named Yuzhny.\"", "\"The urban locality is named Yuzhny.\"", "\"Yuzhny is the name of the urban locality that's in the same district as Rytkuchi\"", "\"Yuzhny is an urban locality in Chaunsky District, which is the same district as Rytkuchi,\""]	"Yuzhny"	1	["YYuzhny ( Russian: \u042e\u0301\u0436\u043d\u044b\u0439) is an urban locality (an urban-type settlement) in Chaunsky District of Chukotka Autonomous Okrug, Russia, situated southeast of Chaunskaya Bay, about 70 kilometers (43 mi) south of Pevek, the administrative center of the district.Population:"]
bcf1036f-5f55-4dab-a951-d2afa2c717ae	text	How many years before the coat of arms of France was created did the last direct Capetian die?	["The last direct Capetian died some 577 years before the coat of arms of France was created.", "\"The last direct Capetian died 577 years before the coat of arms of France was created.\"", "\"The coat of arms of France was created 577 years after the last direct Capetian died.\"", "\"The last Capetian died 572 years before the coat of arms was created.\"", "\"The last direct Capetian died about 577 years before the coat of arms of France was created.\""]	"577 years"	1	["The years.The coat of arms of France depicts a lictor's fasces upon branches of laurel and oak, as well as a ribbon bearing the national motto Libert\u00e9, \u00e9galit\u00e9, fraternit\u00e9. The arms was created in 1905 by heraldic painter-engraver Maurice de Mey\u00e8re, and adopted by the government. After the death of the last direct Capetian"]
f33db45e-64fa-4ae0-b263-bd2cc3b3ed78	text	Does the British basketball league system have less levels does the Spanish basketball league system?	["\"The British basketball league system has levels 2 to 4 while the Spanish basketball league system has four levels.\"", "\"No, the British basketball league system does not have fewer levels than the Spanish basketball league system.\"", "\"The British basketball league system fewer levels than the Spanish basketball league system.\"", "\"No, the British basketball league system does not have less levels than the Spanish basketball league system.\""]	"fewer levels"	1	["The is a basketball league system in Spain.The system has a hierarchical format with a promotion and relegation system between competitions at different levels. There are currently four different nation-wide leagues in the system - the 1st tier Liga ACB, the 2nd tier LEB Oro, the 3rd tier Liga EBA and the 4th tier Liga Nacional. For the 2020-"]
e8f1e968-5b0e-4507-9be2-416ad1828301	text	What rivers share each others' namesake that is a tributary of the Multnomah Channel on Sauvie Island and a freshwater tributary of the Cyriac River, flowing in the unorganized territory of Lac-Ministuk?	["The Gilbert River.", "\"The Gilbert rivers share each others' namesake that is a tributary of the Multnomah Channel on Sauvie Island and a freshwater tributary of the Cyriac River, flowing in the unorganized territory of Lac-Ministuk.\"", "\"The Gilbert River that is a tributary of the Multnomah Channel on Sauvie Island shares its name with the Gilbert River that is a freshwater tributary of the Cyriac River.\"", "\"The Gilbert Rivers share each others' namesake.\"", "\"The Gilbert River share each others' namesake.\"", "\"There are two Gilbert Rivers, one is a tributary in Canada, while the other is a tributary in Oregon.\""]	"The Gilbert River"	1	["\"\"The Gilbert River\" is a tributary of the Cyriac River.\"The \"\"Gilbert River\"\" is a freshwater river, flowing in the unorganized territory of Lac-Ministuk, in the Le Fjord-du-Saguenay Regional County Municipality, in Quebec, in Canada."]
c941e122-b36a-41d4-9de8-a53ece3d4696	text	How old was the Brazilian football player Socrates, when the Spanish football player Socrates Romero was born?	["Socrates was 12 when Socrates Romero was born.", "\"When the Spanish footballer Socrates Romero was born, the Brazilian footballer Socrates was twelve years old.\"", "\"Socrates was 12 when Socrates Romero was born.\"", "\"The Brazilian football player S\u00f3crates was twelve years old when S\u00f3crates Parri Romero was born.\"", "\"The Brazilian football player Socrates was 12 years old when the Spanish football player Socrates Romero was born.\"", "\"S\u00f3crates was 12 when S\u00f3crates Parri Romero was born.\""]	"12 years"	1	["For.For the philoshoper, see Socrates. S\u00f3crates Parri Romero (born 16 December 1966) is a Spanish former footballer who played as a defender. He began his career with Valencia, and later played 40 matches in La Liga with Albac"]
b156d3e4-f9aa-464a-8126-6dc5e94c9e5e	text	Was the movie The Gathering directed by Randal Kleiser made before or after the Dutch rock band The Gathering had formed?	["Before", "\"The Gathering movie was released before the The Gathering, the rock band, was formed.\"", "\"The Gathering directed by Randal Kleiser was made before the Dutch rock band The Gathering had formed.\"", "\"It was made before the band formed.\"", "\"The movie The Gathering directed by Randal Kleiser was made before the Dutch rock band The Gathering had formed\"", "\"The Gathering movie was made before the formation of the Dutch rock band of the same name.\""]	"Before"	1	["The is a 1977 American made-for-television movie. It was directed by Randal Kleiser and stars Edward Asner and Maureen Stapleton.The Gathering is a Dutch rock band, founded in 1989 by brothers Hans and Ren\u00e9 Rutten and vocalist Bart Smits in Oss, North Brabant. Adam Thornton (Edward Asner), an ill-tempered executive who walked out on his family, learns that he only has a little time left to live"]
