Guid	Qcate	Q	A	Keywords_A	1	Output
3c009284-80d2-42c6-bd4e-cbb6a4fe356c	text	Where do the Chinese dragon and the pixiu both originate?	"They are both figures in Chinese mythology. ""The Chinese dragon and the pixiu both originate in China."" ""The Chinese dragon and the pixiu originate in China"" ""Both creatures originate from China."" ""The Pixiu and Chinese Dragon both originate from China."" ""The Chinese dragon and the pixiu both originated in China."	"""China"""	1	A Chinese pixiu.
f645bdf9-135d-4ea1-a503-544f860455ab	text	"What language has an alternate spelling for Michael and a tradition that literally means ""pre-god""?"	"Slovak language and tradition ""Slovak has an alternate spelling for Michael and a tradition that literally means ""pre-god""."" ""Polish and South Slavic have different names/spelling for Michael and South Slavic name for god is Sud."" ""Slovak has an alternate spelling for Michael and a tradition that literally means ""pre-god"""" ""Slovak language has an alternate spelling for Michael and a tradition that literally means ""pre-god""."" ""The Slovak language has an alternate spelling for Michael and a tradition that literally means ""pre-god""."	"""Slovak"""	1	Sud, literally ""Judge"", is a South Slavic name for the supreme god, especially when conceived as the interweaving of destiny.
cb6296ec-118f-4b63-9b51-7959cd702859	text	Which was released more recently; Black and Blue (Fats Waller) or Black and Blue (Backstreet boys)?	"Back Street Boys, Black and Blue ""Black and Blue (Backstreet boys) was released more recently than Black and Blue (Fats Waller) was."" ""Black and Blue (Backstreet boys) was released more recently than Black and Blue (Fats Waller)"" ""Black and Blue by the Backstreet Boys was released more recently."" ""Black and Blue (Backstreet boys) was released more recently."	"""Black and Blue (Backstreet boys)"""	1	Black & Blue is the fourth studio album by Backstreet Boys. It was released on November 21, 2000, by Jive Records.
1e0a25cd-ff73-442d-af7c-4dfb29d44fd6	text	Polynucleotide kinase and polynucleotide 3'-phosphohydrolase are both names of what biological catalysts?	"Enzymes. ""Both Polynucleotide kinase and polynucleotide 3'-phosphohydrolase are enzymes."" ""Polynucleotide kinase and polynucleotide 3'-phosphohydrolase are both names of enzymes."	"""enzymes"""	1	Polynucleotide kinase
7b601d25-3e8f-4169-909d-197fa9bcc134	text	Differentiation means how different cells of what, defined as a type of disease where cells grow out of control, divide and invade other tissues, are from normal cells?	"Cancer ""Differentiation means how different cells of the cancer cells, defined as a type of disease where cells grow out of control, divide and invade other tissues, are from normal cells."" ""Differentiation means how different cells of cancer, defined as a type of disease where cells grow out of control, divide and invade other tissues, are from normal cells."" ""Differentiation means different cells of cancer cells."" ""Differentiation means how different the cancer cells are from normal cells. Cancer is a type of disease where cells grow out of control, divide and invade other tissues. The common factor is cancer."	"""Cancer"""	1	Cancer causes cells to divide out of control.
141850ba-8a14-4f4a-b371-91312ed40e0c	text	Which highway has a stretch known as Van Dyke Avenue and passes through the northern suburbs of Metro Detroit?	"M-53. ""M-53 has a stretch known as Van Dyke Avenue and passes through the northern suburbs of Metro Detroit."" ""The M-53 Michigan highway has a stretch known as Van Dyke Avenue and passes through the northern suburbs of Metro Detroit."" ""M-53 has a stretch known as Van Dyke Avenue and passes through the northern suburbs of Metro Detroit"	"""M-53"""	1	In Macomb County, M-53 follows the Christopher Columbus Freeway.
45bf227a-3ecb-41a2-88d5-d9db79898b24	text	Neoclassical architecture and Greek Revival architecture followed and adapted the ancient styles of what country that calls an Andrōn a part of a house reserved for men?	"Greece ""Neoclassical architecture and Greek Revival architecture followed and adapted the ancient styles of Greece"" ""The successive styles of Neoclassical architecture and Greek Revival architecture followed and adapted ancient Greek styles closely."" ""Neoclassical architecture and Greek Revival architecture followed and adapted the ancient styles of Greece."" ""In Ancient Greece, the Andrōn was a part of a house reserved for men."" ""The followed and adapted the ancient styles of Greece."	"""Greece"""	1	Andrōn
0ed8c5dd-31db-4833-a5b1-59e691fc5c70	text	NC State began competing in intercollegiate football, but was it before the inception of The Wake–Duke rivalry?	"Yes ""NC State competed in intercollegiate football before the inception of the Wake-Duke rivalry."" ""Yes, NC State began competing in intercollegiate football before the inception of the Wake–Duke rivalry."" ""NC State began competing in intercollegiate football before the inception of the Wake–Duke rivalry."" ""Yes, North Carolina State University began competing in intercollegiate football before the inception of the Wake-Duke rivalry in basketball."" ""NC State began competing in intercollegiate football before the inception of The Wake–Duke rivalry."	"""before"""	1	The Wake-Duke rivalry is the oldest basketball rivalry among the four schools.
0a865d53-214d-4a63-81ef-0429a581d559	text	In the stemmed glass with an inverted cone bowl, how many millilitres can it hold?	"90 to 300. ""In the stemmed glass with an inverted cone bowl, it can hold 90 to 300 millilitres."" ""It can hold up to 300 milliliters."" ""A standard cocktail glass contains 90 to 300 milliliters."" ""A standard cocktail glass contains 90 to 300 millilitres"	"""90 to 300 milliliters"""	1	A cocktail glass is a stemmed glass with an inverted cone bowl.
84b24a49-7d23-492f-9d30-c570dba59a7d	text	What family do both Scirpus and Schoenoplectus belong to ?	"Cyperaceae ""Both belong to the Cyperaceae family."" ""Both Scirpus and Schoenoplectus belong to the Cyperaceae family."" ""Scirpus and Schoenoplectus both belong to the family Cyperaceae."	"""Cyperaceae"""	1	Scirpus
62cfeb7a-68d4-4c88-9d5e-bce4a03b9d8f	text	What profession does both Gottfried Boehm and Theodor Adorno share?	"Philosopher. ""Both Gottfried Boehm and Theodor Adorno are philosophers."" ""Gottfried Boehm and Theodor Adorno share the profession of philosopher."" ""Both Gottfried Boehm and Theodor Adorno were philosophers"" ""Both men were philosophers."" ""They share the profession of being a philosopher."	"""philosopher"""	1	Aesthetic Theory is a book by Theodor Adorno.
b12fff9c-7160-4c73-ad30-7ecbb8dc488a	text	The sympathetic nervous system control what type of response triggered by experiences?	"fight-or-flight response ""It controls the fight-or-flight response."" ""The sympathetic nervous system control what the fight-or-flight response triggered by experiences."" ""The sympathetic nervous system controls the fight-or-flight response."" ""he sympathetic nervous system controls the fight-or-flight response, which is triggered by certain experiences."" ""The sympathetic nervous system controls fight-or-flight response."	"""fight-or-flight"""	1	The sympathetic nervous system
e77103ea-46b6-4af0-9815-05ac979311e6	text	What is Sense and what does it relate to?	"A sense is a biological system used by an organism for sensation, the process of gathering information about the world and responding to stimuli. Sense relates to any of the systems and corresponding organs involved in sensation, i.e. the physical process of responding to stimuli and providing data for perception. ""A sense is a biological system organisms use to gather information about the world, and it's related to processing and responding to stimuli."" ""Sense which relates to any of the systems and corresponding organs involved in sensation is a biological system used by an organism for sensation."" ""Sense is a biological system used by an organism for sensation."" ""Sense is a biological system that relates to the systems and corresponding organs involved in sensation, the physical process of responding to stimuli and providing data for perception."	"""Sense is a biological system used by an organism for sensation and it relates to any of the systems and corresponding organs involved in sensation."""	1	A sense is a biological system used by an organism for sensation, the process of gathering information about the world and responding to stimuli.
86515670-88b7-44e0-85c6-1d9904125007	text	What official and national language of Sri Lankahas its majority population residing in the south?	"Sinhala. ""The majority population of Sinhala speakers reside in the south of Sri Lanka."" ""Sinhala is one of the official and national languages of Sri Lanka."" ""Sinhala has its majority population residing in the south of Sri Lanka."" ""Sinhala has its majority population residing in the south."" ""Sinhala is the official and national language."	"""Sinhala"""	1	Sinhala is one of the official and national languages of Sri Lanka.
67791d75-b82c-42ea-9093-c1ad2f9f4a62	text	What type of human body structure passes behind the inferior vena cava, and supplies the intercostal space?	"Arteries. ""Arteries are a body structure that pass behind the inferior vena cava and supply the intercostal space."" ""Arteries are a type of human body structure that pass behind the inferior vena cava and supply the intercostal space."" ""Arteries supply the intercostal space by passing behind the inferior vena cava."" ""The arteries pass behind the inferior vena cava and supply the intercostal space."" ""Arteries pass behind the inferior vena cava and supply the intercostal space."	"""arteries"""	1	The intercostal arteries are a group of arteries that supply the area between the ribs.
5a7b4112-ce25-4354-a30b-740b69d7585a	text	The activities of what United States Navy component of the Joint Special Operations Command (JSOC) often referred to as Task Force Blue, are considered as classified information?	"DEVGRU ""DEVGRU is this group."" ""The activities of Seal Team Six, often referred to as Task Force Blue, are considered classified information."" ""The activities of the Naval Special Warfare Development Group are considered as classified information."" ""The activities of DEVGRU component of the Joint Special Operations Command (JSOC) often referred to as Task Force Blue, are considered as classified information"" ""The activities of SEAL Team Six of the Joint Special Operations Command (JSOC) often referred to as Task Force Blue, are considered as classified information."	"""DEVGRU"""	1	DEVGRU is the United States Navy component of the Naval Special Warfare Development Group.
